Part,Description,Quantity,Unit Price($),Total Price($),Purchase Link
Elecbee Interlink FSR402 Force Sensing Resistor Thin Film Force Sensor 0g-10kg for Arduino UNO R3 Robotics,FSR Sensor,3,2.54,7.62,https://www.elecbee.com/en/product-detail/fsr402-force-sensitive-resistor-0-5-inch-fsr-pressure-sensor-module-diy-kit_25461?utm_term=&utm_campaign=&utm_source=adwords&utm_medium=ppc&hsa_acc=9958698819&hsa_cam=23146566611&hsa_grp=195696585511&hsa_ad=796079352709&hsa_src=g&hsa_tgt=pla-2484169951580&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=4&gad_campaignid=23146566611&gbraid=0AAAAADGHwHahXg56NCmwtMW9Dj6Z70ks5&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr7f9L3Bimp_Emp0q7j-ze9EZPOb5BdV4qkRKW_WBowx8A33c_gWDmRoC9ssQAvD_BwE
RS PRO 821425 Stainless Steel Extension Spring 25mm Free Length 5mm OD 5.4N Tension,Steel Extension Spring,1,4.13,4.13,https://us.rs-online.com/product/rs-pro/821425/73234297/?srsltid=AfmBOoo1yvZ8HayBoOAmVGlhb8P-qiYUUF5e7Q8OgnpIxUmbJdE6STI-cvg
RC4WD M3/M4 Plastic Long Rod Ends (20),Plastic Rod Ends,1,8.99,8.99,https://store.rc4wd.com/RC4WD-M3M4-Plastic-Long-Rod-Ends-20_p_4477.html?srsltid=AfmBOooKz1YjzW77wR56BtXLI_nyJ8EMSY7lghGUAc8nkblZsERJGC6Kw4Q
MG90S Servo 1/4/10 Pcs Metal Gear Digital 9g Servo For RC Helicopter Airplane Boat Car RC Robot,MG90S Servos,4,2.64,10.56,https://www.aliexpress.us/item/3256807336350998.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256807336350998&ds_e_product_merchant_id=731012774&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=4&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hHmZPg9yFjoSmPv7QlrflipS&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr2Ay1XzGZ3AOLEKESz65txsFfDCqxrrjGJvU1j0lIsPWRIXjna3tPhoCaDAQAvD_BwE&gatewayAdapt=glo2usa#nav-specification
Reaction Tackle Braided Fishing Line - NO FADE Black (65LBS 300YDS),Fishing Line (65LBS 300YDS),1,17.98,17.98,https://reactiontackle.com/products/reaction-tackle-braided-fishing-line-no-fade-black?variant=44287187419375
1080P HD Fixed Focus USB Camera Module 130 Degree Wide Angle for 3D Printer Free Drive 2MP Mini Cam UVC OTG for Linux Window,USB Cameras,3,9.04,27.12,https://www.aliexpress.us/item/3256811583689166.html?gatewayAdapt=glo2usa4itemAdapt
"DROK DC Buck Converter Adjustable Voltage Regulator 12V 6V-32V to 1.5-32V 5A, LCD Screen Step Down Converter with USB Port and Protective Case",Buck/Voltage Regulator,1,15.99,15.99,https://www.amazon.com/DROK-Adjustable-Converter-Transformer-Protective/dp/B07JZ2GQJF?th=1
"Techsmarter 20000mah 65W PPS USB-C PD Power Bank with Samsung Super Fast Charging. Laptop Portable Charger Compatible with iPhone, Galaxy, Android, iPad, MacBook, Chromebook, XPS, ThinkPad, Spectre",65W Power Bank,1,59.99,59.99,https://www.walmart.com/ip/Techsmarter-20000mah-65W-PPS-USB-C-PD-Power-Bank-Samsung-Super-Fast-Charging-Laptop-Portable-Charger-Compatible-iPhone-Galaxy-Android-iPad-MacBook-Ch/1976036058?wmlspartner=wlpa&selectedSellerId=101038842&sourceid=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&veh=dsn&wmlspartner=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&cn=0042_fy27_mp_mpa_lo_int_dis_pmax-p13n&wl9=pla&wl11=online&gad_source=4&gad_campaignid=23148469844&gbraid=0AAAAADmfBIqPPN4qzNjsCrMnD46QzVMcp&gclid=Cj0KCQjwi8nRBhDhARIsAHZf_pbrvnT4YMmG4eTfHRpqIJFXKYzqVkyEIaDyDEOKOIny_rP1pvb7GC8aAhe-EALw_wcB
Adafruit 16-Channel 12-bit PWM/Servo Driver - I2C interface - PCA9685,PWM Servo Driver,1,14.95,14.95,https://www.adafruit.com/product/815?srsltid=AfmBOopmwO9RVf9W3mDJBB6cMZ-kp1dS2KVlt_QWQ-2Z2z_6fd_-_DdY
"2Pcs Raspberry Pi Pico Development Board, Raspberry Pi RP2040 Dual-core ARM Cortex M0+ Processor, Running Up to 133 MHz, Support C/C++/Python, 2MB Quad SPI Flash Integrated with SPI/I2C/UART Interface",Raspberry Pi Pico with RP2040 Microcontroller,1,14.59,14.59,https://www.amazon.com/Raspberry-Pi-Pico-Development-Integrated/dp/B0BDLHMQ9C
40pcs 20 cm (8 inch) Female to Female Multicolored Dupont Wire Breadboard Jumper Ribbon Cables Compatible with Arduino Projects(F/F),Female-to-Female Jumper wires,1,3.99,3.99,https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJQGS6/ref=sr_1_3?crid=3RG9N1WFXNONP&dib=eyJ2IjoiMSJ9.ibSfPMW-D8UnuoyT0yyf3EHyUBKSnfs7IU4zkjBWId7p0nxf_xEf1Kt6CssWI40_MxnZigietR9Dk_wgy6e2eJJmxVRL5TNkldapACxBAGS9vnm5AYFrlyKIGUurGt6ouXpEGGK4LEoalR-N7LQQzE0aCBnJKyVMEMknI6UQhBRWrjqMOX_F8zLL0WdsBY5Ig_DU9-rrX4qgELdrZZ2Mza2DPuMmjyLu7bNJD2dFRmw.NfDeWT29o3dGfQQrOuyx5gZq2guPAxjl8NjG5t-oHrc&dib_tag=se&keywords=female%2Bfemale%2Bjumper%2Bwires&qid=1781757785&sprefix=female%2Bfemale%2Bjump%2Caps%2C178&sr=8-3&th=1
1 in 2/3/4/5 out Quick Splicing Mini Compact Connector Orange/Yellow/Blue Lever Push-in Terminal Block For Electrical Connection,1 to 3 Connector,1,4.22,4.22,https://www.aliexpress.us/item/3256806243155519.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256806243155519&ds_e_product_merchant_id=404245281&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=4&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEtX4CYTUcTD1pyQwk2Jw-il&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD0OHoVuYojqWgi7rZNo624XWAVEyIWVllMBbYgXZb_-v0r1NI4y3Y8aAqySEALw_wcB&gatewayAdapt=glo2usa#nav-specification
1 in 2/3/4/5 out Quick Splicing Mini Compact Connector Orange/Yellow/Blue Lever Push-in Terminal Block For Electrical Connection,1 to 2 Connector,1,3.47,3.47,https://www.aliexpress.us/item/3256806243155519.html?src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256806243155519&ds_e_product_merchant_id=404245281&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=4&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hEtX4CYTUcTD1pyQwk2Jw-il&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD0OHoVuYojqWgi7rZNo624XWAVEyIWVllMBbYgXZb_-v0r1NI4y3Y8aAqySEALw_wcB&gatewayAdapt=glo2usa#nav-specification
"Wired External Speaker, Speaker, Mini Speaker, Portable 13.12ft Black For",External Speaker,1,13.52,13.52,https://www.walmart.com/ip/Wired-External-Speaker-Speaker-Mini-Speaker-Portable-13-12ft-Black-For/1761308510?wmlspartner=wlpa&selectedSellerId=101580919&sourceid=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&veh=dsn&wmlspartner=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&cn=0042_fy27_mp_mpa_lo_int_dis_pmax-p13n&wl9=pla&wl11=online&gad_source=4&gad_campaignid=23148469844&gbraid=0AAAAADmfBIrlVGSzbvDKqckpP70VGwbQo&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTol0dy97MCSxdNTsOX6E88Wa3wKFigmRKRI0pCYE0IlMLAh70Lt0iRoComMQAvD_BwE
SparkFun Electronics 17907 Raspberry Pi Pico Headers Kit,RASPBERRY PI PICO HEADERS KIT,1,1.59,1.59,https://www.digikey.com/en/products/detail/sparkfun-electronics/17907/13910058?gclsrc=aw.ds&gad_source=4&gad_campaignid=20678579980&gbraid=0AAAAADrbLliEdxgN8mG_kkL-u_YZXxdYJ&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD1UVlaQcT8pw1-ZoaLK37hdU6jTc0r0csjNPll8m1A1vZoyagdfNkoaAi1qEALw_wcB
Stacking Header - 2x20 Extra Tall Header - for Pi A+/B+/Pi 2/Pi 3/Pi 4/Pi 5,Raspberry Pi 5 Headers,1,2.95,2.95,https://www.adafruit.com/product/1979#technical-details
